# column 1: time [ps]
# column 2: msd xyz [A^2]
# column 3: msd x [A^2]
# column 4: msd y [A^2]
# column 5: msd z [A^2]
# column 6: number of samples [-]
0.001 6.64729e-05 2.20933e-05 2.21502e-05 2.22294e-05 (count: 1.9999e+09)
0.002 0.000265891 8.8373e-05 8.86006e-05 8.89176e-05 (count: 1.9999e+09)
0.003 0.000598253 0.000198839 0.000199351 0.000200064 (count: 1.9999e+09)
0.004 0.00106356 0.000353489 0.0003544 0.000355668 (count: 1.9999e+09)
0.005 0.0016618 0.000552324 0.000553746 0.000555728 (count: 1.9999e+09)
0.006 0.00239297 0.000795342 0.000797389 0.000800243 (count: 1.9999e+09)
0.007 0.00325708 0.00108254 0.00108533 0.00108921 (count: 1.9999e+09)
0.008 0.0042541 0.00141392 0.00141756 0.00142263 (count: 1.9999e+09)
0.009 0.00538404 0.00178947 0.00179408 0.0018005 (count: 1.9999e+09)
0.01 0.00664689 0.0022092 0.00221488 0.00222281 (count: 1.9999e+09)
0.011 0.00804264 0.00267309 0.00267998 0.00268957 (count: 1.9999e+09)
0.012 0.00957127 0.00318116 0.00318935 0.00320076 (count: 1.9999e+09)
0.013 0.0112328 0.00373339 0.003743 0.00375639 (count: 1.9999e+09)
0.014 0.0130272 0.00432978 0.00434092 0.00435646 (count: 1.9999e+09)
0.015 0.0149544 0.00497032 0.00498312 0.00500095 (count: 1.9999e+09)
0.016 0.0170145 0.00565501 0.00566957 0.00568986 (count: 1.9999e+09)
0.017 0.0192073 0.00638385 0.00640029 0.0064232 (count: 1.9999e+09)
0.018 0.021533 0.00715684 0.00717526 0.00720094 (count: 1.9999e+09)
0.019 0.0239915 0.00797395 0.00799448 0.0080231 (count: 1.9999e+09)
0.02 0.0265828 0.0088352 0.00885795 0.00888965 (count: 1.9999e+09)
0.021 0.0293068 0.00974057 0.00976565 0.00980061 (count: 1.9999e+09)
0.022 0.0321636 0.0106901 0.0107176 0.0107559 (count: 1.9999e+09)
0.023 0.0351531 0.0116837 0.0117137 0.0117557 (count: 1.9999e+09)
0.024 0.0382753 0.0127214 0.0127541 0.0127998 (count: 1.9999e+09)
0.025 0.0415301 0.0138032 0.0138387 0.0138882 (count: 7.9996e+07)
0.05 0.165947 0.055155 0.0552969 0.0554951 (count: 7.9996e+07)
0.075 0.372798 0.123905 0.124224 0.12467 (count: 7.99959e+07)
0.1 0.661474 0.21985 0.220416 0.221209 (count: 7.99959e+07)
0.125 1.0313 0.342767 0.343648 0.344888 (count: 7.99959e+07)
0.15 1.4816 0.492426 0.493692 0.495478 (count: 7.99959e+07)
0.175 2.01167 0.668601 0.67032 0.67275 (count: 7.99959e+07)
0.2 2.62087 0.871071 0.873311 0.876485 (count: 7.99958e+07)
0.225 3.30855 1.09963 1.10245 1.10647 (count: 7.99958e+07)
0.25 4.07412 1.35407 1.35755 1.36251 (count: 7.99958e+07)
0.275 4.91701 1.6342 1.6384 1.6444 (count: 7.99958e+07)
0.3 5.83668 1.93985 1.94484 1.95198 (count: 7.99958e+07)
0.325 6.83264 2.27086 2.2767 2.28508 (count: 7.99957e+07)
0.35 7.90444 2.62707 2.63383 2.64354 (count: 7.99957e+07)
0.375 9.05164 3.00834 3.01608 3.02722 (count: 7.99957e+07)
0.4 10.2738 3.41453 3.42332 3.43599 (count: 7.99957e+07)
0.425 11.5707 3.84553 3.85542 3.86972 (count: 7.99957e+07)
0.45 12.9418 4.30121 4.31228 4.3283 (count: 7.99956e+07)
0.475 14.3869 4.78147 4.79377 4.81161 (count: 7.99956e+07)
0.5 15.9055 5.28619 5.29979 5.31955 (count: 7.99956e+07)
0.525 17.4975 5.81528 5.83023 5.852 (count: 7.99956e+07)
0.55 19.1625 6.36861 6.38498 6.40887 (count: 7.99956e+07)
0.575 20.9 6.94608 6.96394 6.99003 (count: 7.99955e+07)
0.6 22.7099 7.54759 7.56698 7.59538 (count: 7.99955e+07)
0.625 24.5921 8.1725 8.19422 8.22534 (count: 3.19982e+06)
1.25 93.7607 31.1593 31.2399 31.3615 (count: 3.1998e+06)
1.875 201.47 66.9537 67.1235 67.3928 (count: 3.19978e+06)
2.5 342.5 113.819 114.105 114.575 (count: 3.19976e+06)
3.125 512.326 170.248 170.681 171.397 (count: 3.19974e+06)
3.75 707.041 234.939 235.55 236.551 (count: 3.19972e+06)
4.375 923.281 306.772 307.593 308.915 (count: 3.1997e+06)
5 1158.14 384.78 385.84 387.521 (count: 3.19968e+06)
5.625 1409.12 468.132 469.451 471.534 (count: 3.19966e+06)
6.25 1674.03 556.11 557.697 560.227 (count: 3.19964e+06)
6.875 1951.02 648.096 649.949 652.973 (count: 3.19962e+06)
7.5 2238.44 743.554 745.662 749.226 (count: 3.1996e+06)
8.125 2534.9 842.021 844.363 848.515 (count: 3.19958e+06)
8.75 2839.18 943.099 945.65 950.431 (count: 3.19956e+06)
9.375 3150.23 1046.44 1049.17 1054.62 (count: 3.19954e+06)
10 3467.14 1151.75 1154.63 1160.77 (count: 3.19952e+06)
10.625 3789.13 1258.77 1261.75 1268.61 (count: 3.1995e+06)
11.25 4115.51 1367.29 1370.31 1377.91 (count: 3.19948e+06)
11.875 4445.68 1477.1 1480.11 1488.48 (count: 3.19946e+06)
12.5 4779.13 1588.05 1590.97 1600.12 (count: 3.19944e+06)
13.125 5115.4 1699.99 1702.74 1712.67 (count: 3.19942e+06)
13.75 5454.1 1812.79 1815.3 1826.01 (count: 3.1994e+06)
14.375 5794.9 1926.35 1928.53 1940.02 (count: 3.19938e+06)
15 6137.51 2040.57 2042.34 2054.59 (count: 3.19936e+06)
15.625 6476.37 2156.82 2149.34 2170.21 (count: 127960)
31.25 15258.6 5100.71 5064.44 5093.43 (count: 127940)
46.875 24114.5 8058.79 8008.67 8047.06 (count: 127920)
62.5 32972.6 10996.9 10963.9 11011.8 (count: 127900)
78.125 41806.5 13904.9 13921.8 13979.8 (count: 127880)
93.75 50632.9 16804 16881.4 16947.4 (count: 127860)
109.375 59469.8 19710.8 19848.5 19910.5 (count: 127840)
125 68309.8 22611.8 22824.6 22873.4 (count: 127820)
140.625 77150.6 25520.6 25803.2 25826.7 (count: 127800)
156.25 86006.6 28451.6 28784.9 28770.1 (count: 127780)
171.875 94839.5 31371 31748.8 31719.7 (count: 127760)
187.5 103601 34253.9 34690.6 34657 (count: 127740)
203.125 112334 37113.1 37619.2 37601.7 (count: 127720)
218.75 121038 39965.8 40532.9 40539.3 (count: 127700)
234.375 129754 42827 43442 43485.1 (count: 127680)
250 138437 45660 46362.5 46414.7 (count: 127660)
265.625 147139 48500.5 49285 49353.7 (count: 127640)
281.25 155886 51359.3 52218.8 52308.3 (count: 127620)
296.875 164655 54223.5 55149.1 55282.2 (count: 127600)
312.5 173450 57112 58069.5 58268.5 (count: 127580)
328.125 182304 60016.8 61009.3 61278.2 (count: 127560)
343.75 191181 62930.2 63947.8 64303.5 (count: 127540)
359.375 200043 65845.6 66872.3 67324.8 (count: 127520)
375 208929 68769.8 69810.9 70348.5 (count: 127500)
390.625 216931 71599.8 72553.7 72777.3 (count: 5080)
781.25 439730 145416 144130 150184 (count: 5060)
1171.88 660056 217618 217679 224759 (count: 5040)
1562.5 883011 289610 291169 302233 (count: 5020)
1953.12 1.10392e+06 360697 365165 378062 (count: 5000)
2343.75 1.32505e+06 430878 439759 454417 (count: 4980)
2734.38 1.54608e+06 503183 514369 528528 (count: 4960)
3125 1.76656e+06 576921 588865 600774 (count: 4940)
3515.62 1.99037e+06 655081 660849 674437 (count: 4920)
3906.25 2.20956e+06 732615 732345 744598 (count: 4900)
4296.88 2.42266e+06 806662 801121 814873 (count: 4880)
4687.5 2.63594e+06 881677 868889 885375 (count: 4860)
5078.12 2.84487e+06 950254 936543 958072 (count: 4840)
5468.75 3.057e+06 1.01995e+06 1.0062e+06 1.03085e+06 (count: 4820)
5859.38 3.26498e+06 1.08625e+06 1.07619e+06 1.10254e+06 (count: 4800)
6250 3.47384e+06 1.15131e+06 1.14596e+06 1.17657e+06 (count: 4780)
6640.62 3.68718e+06 1.2179e+06 1.21786e+06 1.25142e+06 (count: 4760)
7031.25 3.90535e+06 1.28331e+06 1.29078e+06 1.33126e+06 (count: 4740)
7421.88 4.11633e+06 1.34492e+06 1.36191e+06 1.4095e+06 (count: 4720)
7812.5 4.32958e+06 1.40623e+06 1.43534e+06 1.48801e+06 (count: 4700)
8203.12 4.54082e+06 1.46641e+06 1.50617e+06 1.56824e+06 (count: 4680)
8593.75 4.75816e+06 1.52994e+06 1.57815e+06 1.65007e+06 (count: 4660)
8984.38 4.97938e+06 1.59304e+06 1.65338e+06 1.73296e+06 (count: 4640)
9375 5.19579e+06 1.65416e+06 1.72596e+06 1.81567e+06 (count: 4620)
9765.62 5.53577e+06 1.59277e+06 1.91381e+06 2.0292e+06 (count: 180)
