Curve MD-BerTstat1Temperature
0.0 0.0
125.0 594.1236354412816
250.0 563.3995926482997
375.0 643.266876524843
500.0 649.2860233019587
625.0 728.0505784797979
750.0 719.3860422925201
874.9999999999999 726.9857563532639
1000.0 716.7707532898054
1125.0 697.4383268536051
1250.0 686.6276397292488
1375.0 688.6390439769409
1500.0 716.0401481426503
1625.0 713.050859566801
1750.0 683.2018943218018
1875.0 704.3560006459337
2000.0 695.4563717198529
2125.0 662.339752392318
2250.0 715.8092891068534
2375.0 693.4074511794388
2500.0 698.7223298777836
2625.0 717.026429851475
2750.0 692.8552575150428
2875.0 719.9821800093788
3000.0 687.3194263441541
3125.0 709.8462348228711
3250.0 696.6508567444056
3375.0 716.9181980328141
3500.0 701.7096587360743
3625.0 702.1505034112762
3750.0 679.2958343774156
3875.0 725.4283701661993
4000.0 699.4739545826685
4125.0 678.4337338749425
4250.0 694.6665709202313
4375.0 721.3379809477219
4500.0 690.1589533112058
4625.0 692.010706444574
4750.0 685.3486401928134
4875.0 701.1264308248647
5000.0 715.4485021024391
5125.0 712.7336111553857
5250.0 723.2933144038052
5375.0 705.2871826739145
5500.0 697.841634894006
5625.0 702.8960779833144
5750.0 696.0556070812148
5875.0 672.7187212880068
6000.0 693.1910260585178
6125.0 698.0005812796207
6250.0 697.2467100910452
6375.0 689.0331077883965
6500.0 676.1247516338119
6625.000000000001 684.0670364539747
6750.000000000001 746.1064885514824
6875.000000000001 722.6929562755911
6999.999999999999 704.9895296087652
7124.999999999999 692.5300490753555
7250.0 707.2646056821143
7375.0 692.9717789774539
7500.0 699.7455769794266
7625.0 709.9004513412114
7750.0 699.2158105605372
7875.0 715.0564573220072
8000.0 683.1837054890127
8125.0 672.7799447959549
8250.0 708.3141465629011
8375.0 709.9231291728838
8500.0 723.6152906124165
8625.0 688.8276772663486
8750.0 679.8007774532877
8875.0 664.5109588102732
9000.0 711.8304665574608
9125.0 689.4845210376851
9250.0 707.3290682821302
9375.0 722.3622565567924
9500.0 734.2502784044707
9625.0 705.8989480440923
9750.0 705.3396505689846
9875.0 702.0853398899509
10000.0 720.6035379196682
10125.0 687.7484957350424
10250.0 683.9508993496376
10375.0 712.8268005405497
10500.0 682.3995450247861
10625.0 683.425459997232
10750.0 712.2258818651958
10875.0 704.0757185914912
11000.0 717.7032675437129
11125.0 692.9144889452677
11250.0 677.905668564675
11375.0 726.4086009783173
11500.0 703.8808819552017
11625.0 707.8787000433595
11750.0 683.1835612522697
11875.0 704.3898532507774
12000.0 688.0424532789569
12125.0 694.0856270573987
12250.0 683.3947912926781
12375.0 712.6381295301695
12500.0 691.3941548993065
