Curve latticelength-1
0.0 25.1560001373291
1.0 25.42587471008301
2.0 25.62607765197754
3.0 25.52659797668457
4.0 25.56272125244141
5.0 25.55683326721191
6.0 25.53535270690918
7.0 25.42373847961426
8.0 25.43106460571289
9.0 25.41278076171875
10.0 25.43757057189941
11.0 25.4968147277832
12.0 25.53879547119141
13.0 25.4829216003418
14.0 25.47370719909668
15.0 25.4447135925293
16.0 25.44344902038574
17.0 25.40785217285156
18.0 25.47209548950195
19.0 25.45648765563965
20.0 25.58597373962402
21.0 25.52773666381836
22.0 25.46936225891113
23.0 25.62601089477539
24.0 25.6095027923584
25.0 25.59520149230957
26.0 25.53096199035645
27.0 25.48682022094727
28.0 25.45690727233887
29.0 25.35908889770508
30.0 25.40642356872559
31.0 25.38225746154785
32.0 25.31513595581055
33.0 25.40368270874023
34.0 25.50182151794434
35.0 25.4272518157959
36.0 25.35588073730469
37.0 25.40666580200195
38.0 25.27872848510742
39.0 25.39152336120605
40.0 25.38615226745605
41.0 25.44236183166504
42.0 25.42389106750488
43.0 25.49722862243652
44.0 25.47782707214355
45.0 25.44391632080078
46.0 25.53179550170898
47.0 25.47595024108887
48.0 25.44140815734863
49.0 25.44827842712402
50.0 25.44038391113281
51.0 25.44809913635254
52.0 25.55158042907715
53.0 25.5090160369873
54.0 25.51993370056152
55.0 25.53722381591797
56.0 25.58587455749512
57.0 25.52495574951172
58.0 25.52478408813477
59.0 25.56125831604004
60.0 25.48522186279297
61.0 25.43703079223633
62.0 25.50338745117188
63.0 25.49661827087402
64.0 25.58790016174316
65.0 25.58339309692383
66.0 25.49225616455078
67.0 25.47219467163086
68.0 25.48224067687988
69.0 25.46483993530273
70.0 25.35992813110352
71.0 25.42861366271973
72.0 25.47557067871094
73.0 25.48139381408691
74.0 25.48553466796875
75.0 25.43915176391602
76.0 25.4486255645752
77.0 25.40700912475586
78.0 25.45640563964844
79.0 25.56415748596191
80.0 25.60833930969238
81.0 25.54182434082031
82.0 25.49362564086914
83.0 25.44216918945312
84.0 25.43510246276855
85.0 25.44008445739746
86.0 25.4049015045166
87.0 25.4484748840332
88.0 25.48459243774414
89.0 25.61045265197754
90.0 25.6192512512207
91.0 25.60600852966309
92.0 25.50139999389648
93.0 25.50590896606445
94.0 25.46737861633301
95.0 25.53426170349121
96.0 25.69321823120117
97.0 25.61448287963867
98.0 25.46511268615723
99.0 25.3929615020752
100.0 25.47420692443848
Curve latticelength-2
0.0 25.1560001373291
1.0 25.37069129943848
2.0 25.48762321472168
3.0 25.44391441345215
4.0 25.3533935546875
5.0 25.2586669921875
6.0 25.30897521972656
7.0 25.36538314819336
8.0 25.43623352050781
9.0 25.51091575622559
10.0 25.46639633178711
11.0 25.34947776794434
12.0 25.37547302246094
13.0 25.37932014465332
14.0 25.47015762329102
15.0 25.43925094604492
16.0 25.48322868347168
17.0 25.50608062744141
18.0 25.50752830505371
19.0 25.47257804870605
20.0 25.40057754516602
21.0 25.35657691955566
22.0 25.3000373840332
23.0 25.18697547912598
24.0 25.16121673583984
25.0 25.37104034423828
26.0 25.32561683654785
27.0 25.29477882385254
28.0 25.21099472045898
29.0 25.3079891204834
30.0 25.42259788513184
31.0 25.48729133605957
32.0 25.47727203369141
33.0 25.39960098266602
34.0 25.45761108398438
35.0 25.43670845031738
36.0 25.4610424041748
37.0 25.39034271240234
38.0 25.32953453063965
39.0 25.34746932983398
40.0 25.44277954101562
41.0 25.36352348327637
42.0 25.39936447143555
43.0 25.41019821166992
44.0 25.36350440979004
45.0 25.34962272644043
46.0 25.28636932373047
47.0 25.36725234985352
48.0 25.32909774780273
49.0 25.42675399780273
50.0 25.48999786376953
51.0 25.61405372619629
52.0 25.52485084533691
53.0 25.54213523864746
54.0 25.42008018493652
55.0 25.43232154846191
56.0 25.47158813476562
57.0 25.40693473815918
58.0 25.47851371765137
59.0 25.5223560333252
60.0 25.48406219482422
61.0 25.45600509643555
62.0 25.4710750579834
63.0 25.46360969543457
64.0 25.4594783782959
65.0 25.53078651428223
66.0 25.49049377441406
67.0 25.4952335357666
68.0 25.42567443847656
69.0 25.39575576782227
70.0 25.38392639160156
71.0 25.44580268859863
72.0 25.40364265441895
73.0 25.43696022033691
74.0 25.47904014587402
75.0 25.50611877441406
76.0 25.52036094665527
77.0 25.45565795898438
78.0 25.39962387084961
79.0 25.44520950317383
80.0 25.41443252563477
81.0 25.42411422729492
82.0 25.42370986938477
83.0 25.43769073486328
84.0 25.43244361877441
85.0 25.42088890075684
86.0 25.49337577819824
87.0 25.50631332397461
88.0 25.3614330291748
89.0 25.40395164489746
90.0 25.37692260742188
91.0 25.44601631164551
92.0 25.57615661621094
