Curve Energy
0.0 -1064.775446146825
125.0 -1064.304922486125
250.0 -1063.48948701018
375.0 -1062.765849362168
500.0 -1063.021653835591
625.0 -1064.191165421218
750.0 -1065.070488605246
874.9999999999999 -1065.785583936108
1000.0 -1066.224871104372
1125.0 -1066.826759798043
1250.0 -1067.506109061972
1375.0 -1067.841356589629
1500.0 -1068.419949530984
1625.0 -1068.595219714215
1750.0 -1068.824045361697
1875.0 -1068.974651686025
2000.0 -1069.283632352053
2125.0 -1069.619563849526
2250.0 -1069.612875461859
2375.0 -1069.625278417612
2500.0 -1069.501120023778
2625.0 -1069.659985646167
2750.0 -1069.62346209952
2875.0 -1069.689435697303
3000.0 -1069.540931887039
3125.0 -1069.542947790627
3250.0 -1069.448742884999
3375.0 -1069.521581859856
3500.0 -1069.719579012434
3625.0 -1069.669557562414
3750.0 -1069.824794207169
3875.0 -1069.712093737095
4000.0 -1069.72578240595
4125.0 -1069.830009170556
4250.0 -1069.675022411001
4375.0 -1069.742807911499
4500.0 -1069.883554667285
4625.0 -1069.788995224474
4750.0 -1069.832652580516
4875.0 -1069.927790433075
5000.0 -1070.029540164304
5125.0 -1070.124126317564
5250.0 -1070.273520086645
5375.0 -1070.471062176507
5500.0 -1070.569571297463
5625.0 -1070.492879874662
5750.0 -1070.420715679535
5875.0 -1070.381295383534
6000.0 -1070.205205165784
6125.0 -1070.193092553531
6250.0 -1070.129099750244
6375.0 -1070.21372054914
6500.0 -1070.265662623687
6625.000000000001 -1070.391160527918
6750.000000000001 -1070.288576686778
6875.000000000001 -1070.22018062302
6999.999999999999 -1070.251521841478
7124.999999999999 -1070.237825696896
7250.0 -1070.28649104843
7375.0 -1070.264294045217
7500.0 -1070.290296023751
7625.0 -1070.426778851392
7750.0 -1070.431227661898
7875.0 -1070.250506397468
8000.0 -1070.192847657076
8125.0 -1070.003938129069
8250.0 -1070.025189749341
8375.0 -1070.1171137663
8500.0 -1070.14129501164
8625.0 -1070.166940323262
8750.0 -1070.387450723741
8875.0 -1070.351968725626
9000.0 -1070.073983327758
9125.0 -1070.153746304943
9250.0 -1070.530298035835
9375.0 -1070.289987074102
9500.0 -1070.207373310493
9625.0 -1070.088259094596
9750.0 -1070.007389562544
9875.0 -1070.2358184273
10000.0 -1070.403512341519
10125.0 -1070.442475472999
10250.0 -1070.519499958184
10375.0 -1070.32012189903
10500.0 -1070.340907816477
10625.0 -1070.119336158063
10750.0 -1070.115186213002
10875.0 -1070.090877726073
11000.0 -1070.06715042731
11125.0 -1070.164139359377
11250.0 -1070.179961488854
11375.0 -1070.20055502066
11500.0 -1070.501678393065
11625.0 -1070.47847555866
11750.0 -1070.378659187127
11875.0 -1070.471777492831
12000.0 -1070.393994521157
12125.0 -1070.377680892746
12250.0 -1070.426466001087
12375.0 -1070.291409876618
12500.0 -1070.415322479894
Curve cellvolume
0.0 15919.328125
125.0 16011.544921875
250.0 16055.99609375
375.0 16091.6357421875
500.0 16013.869140625
625.0 15881.80859375
750.0 15744.1474609375
874.9999999999999 15653.78125
1000.0 15604.361328125
1125.0 15584.9677734375
1250.0 15577.53125
1375.0 15567.0830078125
1500.0 15554.9990234375
1625.0 15549.48046875
1750.0 15501.576171875
1875.0 15470.3955078125
2000.0 15456.4677734375
2125.0 15464.3642578125
2250.0 15476.171875
2375.0 15490.2900390625
2500.0 15482.9130859375
2625.0 15476.470703125
2750.0 15449.1826171875
2875.0 15425.1533203125
3000.0 15438.9306640625
3125.0 15465.49609375
3250.0 15486.0595703125
3375.0 15484.3603515625
3500.0 15476.919921875
3625.0 15491.162109375
3750.0 15495.0732421875
3875.0 15501.17578125
4000.0 15489.1083984375
4125.0 15488.6298828125
4250.0 15499.2880859375
4375.0 15523.50390625
4500.0 15520.1767578125
4625.0 15487.974609375
4750.0 15467.3837890625
4875.0 15461.572265625
5000.0 15467.6806640625
5125.0 15452.59375
5250.0 15440.4853515625
5375.0 15427.68359375
5500.0 15438.390625
5625.0 15457.5185546875
5750.0 15451.908203125
5875.0 15433.5048828125
6000.0 15423.2978515625
6125.0 15430.484375
6250.0 15444.1435546875
6375.0 15449.16015625
6500.0 15452.77734375
6625.000000000001 15461.33203125
6750.000000000001 15460.587890625
6875.000000000001 15453.7099609375
6999.999999999999 15439.55078125
7124.999999999999 15436.990234375
7250.0 15445.4140625
7375.0 15455.13671875
7500.0 15451.7177734375
7625.0 15444.3662109375
7750.0 15457.8740234375
7875.0 15479.46484375
8000.0 15482.91015625
8125.0 15460.1220703125
8250.0 15436.3525390625
8375.0 15447.5107421875
8500.0 15455.1318359375
8625.0 15462.306640625
8750.0 15438.6904296875
8875.0 15437.9169921875
9000.0 15448.1083984375
9125.0 15444.1220703125
9250.0 15444.59765625
9375.0 15467.41015625
9500.0 15453.88671875
9625.0 15445.2041015625
9750.0 15450.453125
9875.0 15454.083984375
10000.0 15452.728515625
10125.0 15457.48046875
10250.0 15463.8291015625
10375.0 15454.791015625
10500.0 15438.0126953125
10625.0 15442.9423828125
10750.0 15454.6279296875
10875.0 15469.0810546875
11000.0 15465.98046875
11125.0 15449.916015625
11250.0 15442.6298828125
11375.0 15458.333984375
11500.0 15444.5234375
11625.0 15423.7744140625
11750.0 15439.1904296875
11875.0 15429.1650390625
12000.0 15441.9638671875
12125.0 15449.1494140625
12250.0 15426.0849609375
12375.0 15415.3994140625
12500.0 15428.5673828125
