Curve latticelength-1
0.0 25.1560001373291
1.0 25.19982147216797
2.0 25.2140064239502
3.0 25.2255859375
4.0 25.20135498046875
5.0 25.14954376220703
6.0 25.08399391174316
7.0 25.03572654724121
8.0 25.00350379943848
9.0 24.99869155883789
10.0 25.00908851623535
11.0 24.97145462036133
12.0 24.95335578918457
13.0 24.96437072753906
14.0 24.94771385192871
15.0 24.91831970214844
16.0 24.89992141723633
17.0 24.9050407409668
18.0 24.94436836242676
19.0 24.96400451660156
20.0 24.94504356384277
21.0 24.91676330566406
22.0 24.89693832397461
23.0 24.87660789489746
24.0 24.88514518737793
25.0 24.89084053039551
26.0 24.88716697692871
27.0 24.8803539276123
28.0 24.88212585449219
29.0 24.894775390625
30.0 24.87078285217285
31.0 24.83123207092285
32.0 24.83140754699707
33.0 24.87318801879883
34.0 24.87266540527344
35.0 24.8632698059082
36.0 24.87320899963379
37.0 24.8649730682373
38.0 24.85773277282715
39.0 24.84344100952148
40.0 24.83946228027344
41.0 24.81892204284668
42.0 24.78398132324219
43.0 24.76764869689941
44.0 24.82069396972656
45.0 24.84487915039062
46.0 24.8145923614502
47.0 24.79779243469238
48.0 24.82140350341797
49.0 24.84988594055176
50.0 24.83932495117188
51.0 24.78539085388184
52.0 24.7939453125
53.0 24.86067390441895
54.0 24.86527252197266
55.0 24.79731941223145
56.0 24.78340339660645
57.0 24.83849143981934
58.0 24.88309669494629
59.0 24.85811996459961
60.0 24.84716987609863
61.0 24.87732315063477
62.0 24.90500450134277
63.0 24.88333892822266
64.0 24.85720634460449
65.0 24.86098670959473
66.0 24.8654727935791
67.0 24.85727119445801
68.0 24.8256778717041
69.0 24.83893585205078
70.0 24.85173797607422
71.0 24.8262882232666
72.0 24.80591583251953
73.0 24.83492088317871
74.0 24.88395881652832
75.0 24.91200828552246
76.0 24.88929176330566
77.0 24.83830070495605
78.0 24.84001731872559
79.0 24.84897232055664
80.0 24.83560371398926
81.0 24.82776832580566
82.0 24.84988403320312
83.0 24.85270309448242
84.0 24.83574104309082
85.0 24.83608055114746
86.0 24.86092185974121
87.0 24.8856201171875
88.0 24.88936996459961
89.0 24.90485572814941
90.0 24.9062671661377
91.0 24.90810966491699
92.0 24.89200782775879
93.0 24.8938102722168
94.0 24.88658714294434
95.0 24.87149620056152
96.0 24.8784122467041
97.0 24.90080070495605
98.0 24.89391326904297
99.0 24.88140487670898
100.0 24.90301322937012
Curve latticelength-2
0.0 25.1560001373291
1.0 25.20175170898438
2.0 25.22096824645996
3.0 25.2425537109375
4.0 25.18029022216797
5.0 25.06737899780273
6.0 24.97215461730957
7.0 24.92545700073242
8.0 24.88755416870117
9.0 24.8452262878418
10.0 24.81314849853516
11.0 24.8314037322998
12.0 24.83584976196289
13.0 24.80574989318848
14.0 24.76878547668457
15.0 24.7661075592041
16.0 24.77072334289551
17.0 24.76737022399902
18.0 24.77695655822754
19.0 24.79990577697754
20.0 24.80991554260254
21.0 24.81303215026855
22.0 24.79553985595703
23.0 24.79437828063965
24.0 24.79962158203125
25.0 24.79644775390625
26.0 24.8245964050293
