Curve Energy
0.0 110.011063568692
125.0 2.698167914722479
250.0 -7.367513249742049
375.0 -10.70255399435471
500.0 -11.92523023866459
625.0 -12.52244129267077
750.0 -12.94607972087017
874.9999999999999 -13.20304998977915
1000.0 -13.49038006257518
1125.0 -13.81658882304364
1250.0 -14.03111029650781
1375.0 -14.41504859207321
1500.0 -14.57551806496201
1625.0 -14.93097320311142
1750.0 -15.17910949604425
1875.0 -15.29577410581202
2000.0 -15.50252824610937
2125.0 -15.78293877848958
2250.0 -16.14323045792448
2375.0 -16.40749419110488
2500.0 -16.63682432696293
2625.0 -16.75309139567076
2750.0 -16.91896631060839
2875.0 -17.22192085614982
3000.0 -17.38590706639708
3125.0 -17.75301319366019
3250.0 -18.16149217739333
3375.0 -18.3006462226398
3500.0 -18.43040327363074
3625.0 -18.75059562169405
3750.0 -18.9953801181208
3875.0 -19.18028897907728
4000.0 -19.49175407744879
4125.0 -19.82043383411676
4250.0 -19.98801685229921
4375.0 -20.13209652191157
4500.0 -20.38381757722331
4625.0 -20.4024865107329
4750.0 -20.33814782599599
4875.0 -20.31016307552046
5000.0 -20.38010209285761
5125.0 -20.79886060664038
5250.0 -21.01774039159254
5375.0 -21.22300935000106
5500.0 -21.31829812233876
5625.0 -21.46698624509541
5750.0 -21.50254352659559
5875.0 -21.64076261689613
6000.0 -21.78313460810918
6125.0 -21.85042087484436
6250.0 -21.93324988687698
6375.0 -22.06002168385332
6500.0 -22.25169565120867
6625.000000000001 -22.14133841902445
6750.000000000001 -22.11685129428405
6875.000000000001 -22.07661777058226
6999.999999999999 -22.27821452331993
7124.999999999999 -22.35900033212104
7250.0 -22.52427948465079
7375.0 -22.67031741680037
7500.0 -22.55620263975122
7625.0 -22.76282697707087
7750.0 -22.80860452289987
7875.0 -22.50172553299693
8000.0 -22.71531648044992
8125.0 -22.73799777162094
8250.0 -22.79344651835424
8375.0 -22.89057445043449
8500.0 -23.0348277929167
8625.0 -23.13402422504857
8750.0 -23.05120483647909
8875.0 -23.31661984863607
9000.0 -23.28128805880183
9125.0 -23.32185896277085
9250.0 -23.24646172495902
9375.0 -23.34411128504962
9500.0 -23.17563870739044
9625.0 -23.04838722494747
9750.0 -23.13765255793913
9875.0 -23.23541431603338
10000.0 -23.24334258023089
10125.0 -23.14034047028862
10250.0 -23.21244660289804
10375.0 -23.24572506464147
10500.0 -23.46599616897241
10625.0 -23.43578024615948
10750.0 -23.37306697934281
10875.0 -23.38245628362581
11000.0 -23.33718197186072
11125.0 -23.24423256104246
11250.0 -23.47532392269405
11375.0 -23.55473919862068
11500.0 -23.31468210580343
11625.0 -23.30344449117829
11750.0 -23.32891905693822
11875.0 -23.28112820127405
12000.0 -23.24898152371483
12125.0 -23.24007055630518
12250.0 -23.25855798944707
12375.0 -23.19317872496912
12500.0 -23.22470400753022
Curve cellvolume
0.0 27000.0
125.0 38059.02734375
250.0 39271.15234375
375.0 39265.859375
500.0 38906.7578125
625.0 38417.69921875
750.0 37878.29296875
874.9999999999999 37374.37890625
1000.0 36893.99609375
1125.0 36397.4453125
1250.0 35970.58984375
1375.0 35480.68359375
1500.0 35072.68359375
1625.0 34608.40234375
1750.0 34166.18359375
1875.0 33829.37890625
2000.0 33501.24609375
2125.0 33145.94140625
2250.0 32755.486328125
2375.0 32401.83984375
2500.0 32076.7578125
2625.0 31771.828125
2750.0 31486.373046875
2875.0 31158.841796875
3000.0 30856.2421875
3125.0 30464.201171875
3250.0 30032.3046875
3375.0 29712.265625
3500.0 29439.31640625
3625.0 29118.244140625
3750.0 28836.267578125
3875.0 28617.751953125
4000.0 28344.880859375
4125.0 28059.09765625
4250.0 27843.87109375
4375.0 27677.337890625
4500.0 27479.732421875
4625.0 27401.681640625
4750.0 27399.134765625
4875.0 27372.3203125
5000.0 27285.833984375
5125.0 27019.775390625
5250.0 26794.578125
5375.0 26594.57421875
5500.0 26432.642578125
5625.0 26272.3671875
5750.0 26155.365234375
5875.0 26044.751953125
6000.0 25924.458984375
6125.0 25824.908203125
6250.0 25719.828125
6375.0 25600.873046875
6500.0 25454.1484375
6625.000000000001 25445.8359375
6750.000000000001 25430.001953125
6875.000000000001 25436.150390625
6999.999999999999 25339.1640625
7124.999999999999 25255.1015625
7250.0 25130.9296875
7375.0 25020.6328125
7500.0 25021.587890625
7625.0 24921.41796875
7750.0 24858.767578125
7875.0 24968.46875
8000.0 24905.490234375
8125.0 24865.205078125
8250.0 24806.08984375
8375.0 24724.603515625
8500.0 24629.716796875
8625.0 24571.408203125
8750.0 24593.20703125
8875.0 24478.4140625
9000.0 24468.751953125
9125.0 24451.267578125
9250.0 24465.486328125
9375.0 24431.54296875
9500.0 24511.58984375
9625.0 24579.5625
9750.0 24542.669921875
9875.0 24492.142578125
10000.0 24479.99609375
10125.0 24504.23046875
10250.0 24474.5234375
10375.0 24452.02734375
10500.0 24353.81640625
10625.0 24340.61328125
10750.0 24373.958984375
10875.0 24395.083984375
11000.0 24435.10546875
11125.0 24472.09375
11250.0 24385.982421875
11375.0 24335.5234375
11500.0 24419.19921875
11625.0 24435.708984375
11750.0 24424.6171875
11875.0 24439.458984375
12000.0 24452.3828125
12125.0 24460.955078125
12250.0 24465.478515625
12375.0 24493.564453125
12500.0 24478.380859375
