Curve Energy
0.0 -24.32322096878842
125.0 -29.45766018277773
250.0 -28.31857515885979
375.0 -27.41964783207506
500.0 -26.85648245701528
625.0 -26.56137493352825
750.0 -26.51902862550908
874.9999999999999 -26.52976727402238
1000.0 -26.51933603986858
1125.0 -26.68454230225541
1250.0 -26.62064479181899
1375.0 -26.45015389413771
1500.0 -26.4763216187521
1625.0 -26.57470788325755
1750.0 -26.7655015683562
1875.0 -26.99074148097203
2000.0 -27.15906185546746
2125.0 -27.34517670629866
2250.0 -27.45051271294883
2375.0 -27.48120013490994
2500.0 -27.63144592180341
2625.0 -27.66502772573541
2750.0 -27.77216072943036
2875.0 -27.81397779209962
3000.0 -27.86574114326761
3125.0 -28.29484369236927
3250.0 -28.55401260417181
3375.0 -28.75422707047489
3500.0 -29.08005245612877
3625.0 -29.23005028648153
3750.0 -29.47117044867497
3875.0 -29.51531531386844
4000.0 -29.34778710388984
4125.0 -29.26010604297787
4250.0 -29.39403381410185
4375.0 -29.47885666850031
4500.0 -29.4462860043801
4625.0 -29.21944726658509
4750.0 -29.28064563015542
4875.0 -29.3163756622701
5000.0 -29.44520472559661
5125.0 -29.28425734083283
5250.0 -29.22415297654937
5375.0 -29.09221824742068
5500.0 -29.14835936929552
5625.0 -29.1687620522502
5750.0 -29.11989395632212
5875.0 -29.20956273801015
6000.0 -29.31399248595983
6125.0 -29.21467476317575
6250.0 -29.3319367466636
6375.0 -29.28865104870163
6500.0 -29.23147100969295
6625.000000000001 -29.20325696155328
6750.000000000001 -29.12070116344971
6875.000000000001 -28.95071659596869
6999.999999999999 -29.2557933159257
7124.999999999999 -29.37989699072336
7250.0 -29.43818283010004
7375.0 -29.35334266872843
7500.0 -29.29080746706818
7625.0 -29.35768097433712
7750.0 -29.28040883560606
7875.0 -29.41372814897736
8000.0 -29.42362352489812
8125.0 -29.48986698169867
8250.0 -29.44326248217346
8375.0 -29.46577368375082
8500.0 -29.59686276455716
8625.0 -29.51581170955658
8750.0 -29.55606049536018
8875.0 -29.52100406237036
9000.0 -29.40236812419653
9125.0 -29.25966619258719
9250.0 -29.39327053075438
9375.0 -29.30674844619219
9500.0 -29.23929023291389
9625.0 -29.22873412487603
9750.0 -29.30623939144046
9875.0 -29.56781299091468
10000.0 -29.46556832151371
10125.0 -29.25473182219678
10250.0 -29.18830122946426
10375.0 -29.17976762228044
10500.0 -29.1182199897992
10625.0 -29.26661186850621
10750.0 -29.23239734867683
10875.0 -29.27547075043674
11000.0 -29.25916359048455
11125.0 -29.52332189281
11250.0 -29.55896989086777
11375.0 -29.41777275370972
11500.0 -29.39273551606102
11625.0 -29.3623201796363
11750.0 -29.45591112345643
11875.0 -29.51497088534598
12000.0 -29.39896934211554
12125.0 -29.3410019438436
12250.0 -29.42998860221179
12375.0 -29.44858953664883
12500.0 -29.54563670334247
12625.0 -29.35915332025051
12750.0 -29.3333937084109
12875.0 -29.35453552489102
13000.0 -29.37980940516861
13125.0 -29.29658379692119
13250.0 -29.25584246548457
13375.0 -29.03937167053893
13500.0 -29.09183646610334
13625.0 -29.19052576021141
13750.0 -29.31525895423065
13875.0 -29.25469307938754
14000.0 -29.1560181108045
14125.0 -29.24659522923416
14250.0 -29.21393748420019
14375.0 -29.47221337242166
14500.0 -29.71202974101315
14625.0 -29.60799547598191
14750.0 -29.39490610797169
14875.0 -29.34284051004824
15000.0 -29.44759867749159
15125.0 -29.47002567152364
15250.0 -29.27381120081042
15375.0 -29.02938917824249
15500.0 -29.22368521726327
15625.0 -29.24174734886022
15750.0 -29.32041092780455
15875.0 -29.4690511808427
16000.0 -29.51490058716827
16125.0 -29.48834886213001
16250.0 -29.56721922057373
16375.0 -29.53519667243058
16500.0 -29.35144987735226
16625.0 -29.42886943313593
16750.0 -29.31816534285748
16875.0 -29.23458311217151
17000.0 -29.43350329010992
17125.0 -29.48166030974156
17250.0 -29.32554191668778
17375.0 -29.26378524768936
17500.0 -29.13543816650561
17625.0 -29.13845057963478
17750.0 -29.3664402363175
17875.0 -29.40985885918963
18000.0 -29.3542585089653
18125.0 -29.29249313714844
18250.0 -29.32225046978271
18375.0 -29.35376961245344
18500.0 -29.29374590865183
18625.0 -29.24110774605614
18750.0 -29.10511170840043
18875.0 -29.14371553286198
19000.0 -29.15743824627559
19125.0 -29.25392064781631
19250.0 -29.25071463177965
19375.0 -29.22802935104152
19500.0 -29.25017564706634
19625.0 -29.19586862166975
19750.0 -29.219736148669
19875.0 -29.10079046942096
20000.0 -29.23401478616827
20125.0 -29.23008056100313
20250.0 -29.20595572849344
20375.0 -29.12319205796971
20500.0 -29.28926512197956
20625.0 -29.40929316994304
20750.0 -29.37008498016833
20875.0 -29.25337062779018
21000.0 -29.08898421162467
21125.0 -29.01453054723587
21250.0 -29.04322414508693
21375.0 -29.19751370199747
21500.0 -29.24748349610453
21625.0 -29.31696038414571
21750.0 -29.36392214154659
21875.0 -29.32939305261817
22000.0 -29.27285103967903
22125.0 -29.18949222400902
22250.0 -29.05439872281418
22375.0 -28.98499139476683
22500.0 -28.93100519730554
22625.0 -29.01699661215871
22750.0 -29.06811788271435
22875.0 -29.25468581063282
23000.0 -29.22609824831967
23125.0 -29.18775837197228
23250.0 -29.32970345536514
23375.0 -29.2024447902287
23500.0 -29.3759025420703
23625.0 -29.52033098560303
